brand_name,generic_name,manufacturer_name,product_ndc,route,product_type,rxcui,stock_quantity
SILICEA,SILICEA,"Rxhomeo Private Limited d.b.a. Rxhomeo, Inc",15631-0404,ORAL,HUMAN OTC DRUG,,57
Betadine,POVIDONE-IODINE,"Atlantis Consumer Healthcare, Inc.",67618-192,TOPICAL,HUMAN OTC DRUG,108204,15
Naproxen,NAPROXEN,A-S Medication Solutions,50090-0481,ORAL,HUMAN PRESCRIPTION DRUG,198014,4
Moisturizing Antibacterial,BENZALKONIUM CHLORIDE,Walmart Inc.,79903-165,TOPICAL,HUMAN OTC DRUG,1046593,11
Quick Action,SALICYLIC ACID,Walmart Inc.,49035-934,TOPICAL,HUMAN OTC DRUG,562600,42
Mekinist,TRAMETINIB,Novartis Pharmaceuticals Corporation,0078-1105,ORAL,HUMAN PRESCRIPTION DRUG,1425116,57
Glimepiride,GLIMEPIRIDE,American Health Packaging,68084-326,ORAL,HUMAN PRESCRIPTION DRUG,199245,1
Methocarbamol,METHOCARBAMOL,Proficient Rx LP,63187-130,ORAL,HUMAN PRESCRIPTION DRUG,197944,32
anti itch,HYDROCORTISONE,"Meijer, Inc.",79481-0319,TOPICAL,HUMAN OTC DRUG,106258,17
Varenicline,VARENICLINE,Aurobindo Pharma Limited,59651-417,ORAL,HUMAN PRESCRIPTION DRUG,636671,50
Rescue Sleep,"HELIANTHEMUM NUMMULARIUM FLOWER, CLEMATIS VITALBA FLOWER, IMPATIENS GLANDULIFERA FLOWER, PRUNUS CERASIFERA FLOWER, ORNITHOGALUM UMBELLATUM, AND AESCULUS HIPPOCASTANUM FLOWER","Nelson Bach USA, Ltd.",57687-242,ORAL,HUMAN OTC DRUG,,88
Pain Reliever Extra Strength,ACETAMINOPHEN,Valu Merchandisers Company,63941-519,ORAL,HUMAN OTC DRUG,198440,82
OASIS Tears Lubricant Eye,GLYCERIN,"OASIS Medical, Inc.",42126-6310,OPHTHALMIC,HUMAN OTC DRUG,998232,84
Thera Plus Maximum Strength Feminine Anti-Itch,"BENZOCAINE, RESORCINOL","FOURSTAR GROUP USA, INC.",80684-142,TOPICAL,HUMAN OTC DRUG,637518,70
tamsulosin hydrochloride,TAMSULOSIN HYDROCHLORIDE,"XLCare Pharmaceuticals, Inc.",72865-350,ORAL,HUMAN PRESCRIPTION DRUG,863669,90
"Sure Complete Confidence Antiperspirant Deodorant Aerosol, Unscented",ALUMINUM CHLOROHYDRATE,"Sodalis USA, LLC",81277-011,TOPICAL,HUMAN OTC DRUG,,87
Betamethasone Dipropionate,BETAMETHASONE DIPROPIONATE,"Sun Pharmaceutical Industries, Inc.",51672-1310,TOPICAL,HUMAN PRESCRIPTION DRUG,848176,18
Lights Povindone Iodine Scrub,POVIDONE-IODINE,"Lights Medical Manufacture Co., Ltd.",61333-205,TOPICAL,HUMAN OTC DRUG,314188,13
Calcium Acetate,CALCIUM ACETATE,"Cipla USA Inc.,",69097-862,ORAL,HUMAN PRESCRIPTION DRUG,359296,63
ENTRESTO,SACUBITRIL AND VALSARTAN,Novartis Pharmaceuticals Corporation,0078-0659,ORAL,HUMAN PRESCRIPTION DRUG,1656340,1
VERADEX-E,PETROLATUM AND LANOLIN,"ABBE Laboratories, Inc.",68605-3700,TOPICAL,HUMAN OTC DRUG,2618668,35
Etodolac,ETODOLAC,A-S Medication Solutions,50090-3963,ORAL,HUMAN PRESCRIPTION DRUG,197686,91
basic care acetaminophen,ACETAMINOPHEN,Amazon.com Services LLC,72288-300,ORAL,HUMAN OTC DRUG,198440,42
Anticavity Rinse,SODIUM FLUORIDE,"Meijer, Inc.",41250-004,ORAL,HUMAN OTC DRUG,240698,59
Sertraline Hydrochloride,SERTRALINE HYDROCHLORIDE,Proficient Rx LP,63187-859,ORAL,HUMAN PRESCRIPTION DRUG,312940,5
Antibacterial 2X,BENZALKONIUM CHLORIDE,Sante Manufacturing Inc,71020-016,TOPICAL,HUMAN OTC DRUG,1046593,3
Acid Reducer,ESOMEPRAZOLE MAGNESIUM,CVS Pharmacy,69842-679,ORAL,HUMAN OTC DRUG,433733,7
FOREVER SKIN GLOW 24h wear radiant foundation Perfection and hydration Concentrated floral skincare with suncreen Broad spectrum SPF 15 00,"OCTISALATE, TITANIUM DIOXIDE",Parfums Christian Dior,61957-3141,TOPICAL,HUMAN OTC DRUG,,39
Foster and Thrive Dry Eye Relief,POLYETHYLENE GLYCOL 400,Strategic Sourcing Services LLC,70677-1157,OPHTHALMIC,HUMAN OTC DRUG,2360899,7
Foster and Thrive Advanced Relief Eye Drops,"POLYETHYLENE GLYCOL 400, TETRAHYDROZOLINE HCL",Strategic Sourcing Services LLC,70677-1158,OPHTHALMIC,HUMAN OTC DRUG,996209,71
Isopropyl Alcohol,ISOPROPYL ALCOHOL,Cariba International,67860-845,TOPICAL,HUMAN OTC DRUG,808520,54
Fludrocortisone Acetate,FLUDROCORTISONE ACETATE,American Health Packaging,68084-288,ORAL,HUMAN PRESCRIPTION DRUG,313979,17
LACOSAMIDE,LACOSAMIDE,"Somerset Therapeutics, LLC",70069-471,INTRAVENOUS,HUMAN PRESCRIPTION DRUG,809974,13
CeraVe Developed with Dermatologists Acne Control Cleanser,SALICYLIC ACID,L'Oreal USA Products Inc,49967-138,TOPICAL,HUMAN OTC DRUG,562600,75
Naproxen Sodium 220mg,NAPROXEN SODIUM 220MG,"Command Brands, LLC",69197-394,ORAL,HUMAN OTC DRUG,849574,94
Suds High Foaming Antiseptic Hand and Body Wash,CHLOROXYLENOL,"Pro chem, Inc.",63830-876,TOPICAL,HUMAN OTC DRUG,413261,20
Leader Earwax Removal Drops Earwax Removal Aid,CARBAMIDE PEROXIDE,"Cardinal Health, Inc.",70000-0688,TOPICAL,HUMAN OTC DRUG,702050,9
Amphetamine Sulfate,AMPHETAMINE SULFATE,SpecGx LLC,0406-1219,ORAL,HUMAN PRESCRIPTION DRUG,884655,44
Dove,EVEN TONE PLUS NIACINAMIDE APPLE BLOSSOM AND MANGO BUTTER DRY SPRAY 72H ANTIPERSPIRANT DEODORANT,"Conopco, Inc. d/b/a Unilever",64942-2138,TOPICAL,HUMAN OTC DRUG,,56
Dove,EVEN TONE PLUS NIACINAMIDE PEACH BLOSSOM AND RICE MILK DRY SPRAY 72H ANTIPERSPIRANT DEODORANT,"Conopco, Inc. d/b/a Unilever",64942-2139,TOPICAL,HUMAN OTC DRUG,,30
Dove,EVEN TONE PLUS NIACINAMIDE SHEA BUTTER AND VANILLA DRY SPRAY 72H ANTIPERSPIRANT DEODORANT,"Conopco, Inc. d/b/a Unilever",64942-2140,TOPICAL,HUMAN OTC DRUG,,94
Sports For Trauma Gel,"BELLIS PERENNIS, HYPERICUM PERFOMATUM,TOXICODENDRON PUBSCENS LEAF, RUTA GRAVEOLENS FLOWERING TOP","Schwabe Mexico, S.A. de C.V.",68466-1002,TOPICAL,HUMAN OTC DRUG,,30
Phenazopyridine Hydrochloride,PHENAZOPYRIDINE,Bryant Ranch Prepack,63629-2029,ORAL,HUMAN PRESCRIPTION DRUG,1094104,4
